asset_id,site_id,kind,name,parent_id,capacity_kw,tilt_deg,azimuth_deg,telemetry_column,notes
nist_ground_array_1,nist_ground,array,Ground-mount array,,270.7,20.0,180.0,,"1152 Sharp NU-U235F2 modules, fixed ground mount. Published PVDAQ system 4902 metadata."
nist_ground_inverter_1,nist_ground,inverter,PV Powered PVP 260kW,nist_ground_array_1,,,,ac_power_kw,"Single central inverter. Published PVDAQ system 4902 metadata."
nist_ground_pyranometer_1,nist_ground,pyranometer,On-site pyranometer,,,20.0,180.0,irradiance_wm2,"Co-located instrument published in the same PVDAQ record."
nist_ground_weather_station_1,nist_ground,weather_station,On-site weather station,,,,,temperature_c,"Ambient temperature and wind, co-located with the array."
nist_canopy_array_1,nist_canopy,array,Parking canopy array (east),,242.5,5.0,90.0,,"1032 Sharp NU-U235F2 modules on a dual east/west canopy. The registry records the east mount only, so physics output is approximate for this site."
nist_canopy_inverter_1,nist_canopy,inverter,Canopy inverter,nist_canopy_array_1,,,,ac_power_kw,"Published PVDAQ system 4901 metadata."
nist_canopy_pyranometer_1,nist_canopy,pyranometer,On-site pyranometer,,,5.0,90.0,irradiance_wm2,"Co-located instrument published in the same PVDAQ record."
nist_canopy_weather_station_1,nist_canopy,weather_station,On-site weather station,,,,,temperature_c,"Ambient temperature and wind, co-located with the array."
nist_roof_array_1,nist_roof,array,Building roof array,,73.7,10.0,180.0,,"312 Sharp NU-U235F2 modules, low-tilt roof mount. Published PVDAQ system 4903 metadata."
nist_roof_inverter_1,nist_roof,inverter,Satcon PVS-75,nist_roof_array_1,,,,ac_power_kw,"Published PVDAQ system 4903 metadata."
nist_roof_pyranometer_1,nist_roof,pyranometer,On-site pyranometer,,,10.0,180.0,irradiance_wm2,"Co-located instrument published in the same PVDAQ record."
nist_roof_weather_station_1,nist_roof,weather_station,On-site weather station,,,,,temperature_c,"Ambient temperature and wind, co-located with the array."
gmu_fairfax_array_1,gmu_fairfax,array,Array A,,150.0,25.0,180.0,,"SIMULATED structure. Declared for demonstration, not measured."
gmu_fairfax_array_2,gmu_fairfax,array,Array B,,100.0,25.0,180.0,,"SIMULATED structure. Declared for demonstration, not measured."
gmu_fairfax_inverter_1,gmu_fairfax,inverter,Inverter A,gmu_fairfax_array_1,,,,ac_power_kw,"SIMULATED structure. Declared for demonstration, not measured."
gmu_fairfax_inverter_2,gmu_fairfax,inverter,Inverter B,gmu_fairfax_array_2,,,,,"SIMULATED structure. Declared for demonstration, not measured."
gmu_fairfax_pyranometer_1,gmu_fairfax,pyranometer,Plane-of-array pyranometer,,,25.0,180.0,irradiance_wm2,"SIMULATED structure. Declared for demonstration, not measured."
gmu_fairfax_weather_station_1,gmu_fairfax,weather_station,Campus weather station,,,,,temperature_c,"SIMULATED structure. Declared for demonstration, not measured."
nova_annandale_array_1,nova_annandale,array,Rooftop array,,80.0,25.0,180.0,,"SIMULATED structure. Declared for demonstration, not measured."
nova_annandale_inverter_1,nova_annandale,inverter,String inverter,nova_annandale_array_1,,,,ac_power_kw,"SIMULATED structure. Declared for demonstration, not measured."
nova_annandale_pyranometer_1,nova_annandale,pyranometer,Plane-of-array pyranometer,,,25.0,180.0,irradiance_wm2,"SIMULATED structure. Declared for demonstration, not measured."
nova_annandale_weather_station_1,nova_annandale,weather_station,Campus weather station,,,,,temperature_c,"SIMULATED structure. Declared for demonstration, not measured."
nova_alexandria_array_1,nova_alexandria,array,Rooftop array,,60.0,25.0,180.0,,"SIMULATED structure. Declared for demonstration, not measured."
nova_alexandria_inverter_1,nova_alexandria,inverter,String inverter,nova_alexandria_array_1,,,,ac_power_kw,"SIMULATED structure. Declared for demonstration, not measured."
nova_alexandria_pyranometer_1,nova_alexandria,pyranometer,Plane-of-array pyranometer,,,25.0,180.0,irradiance_wm2,"SIMULATED structure. Declared for demonstration, not measured."
nova_alexandria_weather_station_1,nova_alexandria,weather_station,Campus weather station,,,,,temperature_c,"SIMULATED structure. Declared for demonstration, not measured."
nova_loudoun_array_1,nova_loudoun,array,Array A,,70.0,25.0,180.0,,"SIMULATED structure. Declared for demonstration, not measured."
nova_loudoun_array_2,nova_loudoun,array,Array B,,50.0,25.0,180.0,,"SIMULATED structure. Declared for demonstration, not measured."
nova_loudoun_inverter_1,nova_loudoun,inverter,Inverter A,nova_loudoun_array_1,,,,ac_power_kw,"SIMULATED structure. Declared for demonstration, not measured."
nova_loudoun_inverter_2,nova_loudoun,inverter,Inverter B,nova_loudoun_array_2,,,,,"SIMULATED structure. Declared for demonstration, not measured."
nova_loudoun_pyranometer_1,nova_loudoun,pyranometer,Plane-of-array pyranometer,,,25.0,180.0,irradiance_wm2,"SIMULATED structure. Declared for demonstration, not measured."
nova_loudoun_weather_station_1,nova_loudoun,weather_station,Campus weather station,,,,,temperature_c,"SIMULATED structure. Declared for demonstration, not measured."
nova_manassas_array_1,nova_manassas,array,Rooftop array,,75.0,25.0,180.0,,"SIMULATED structure. Declared for demonstration, not measured."
